Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
02_MQR_Reviewer_T08_SaveMatter/api/1.0/client/env/8d13b3d9-ecf1-41db-a38a-b8aaf769277b/target/one-advanced-legal-uat/evaluations?cluster=1-362,4,158,152,176,176,176,142,176,0.000%,.00408,0.00,0.00
02_MQR_Reviewer_T08_SaveMatter/api/1.0/client/env/8d13b3d9-ecf1-41db-a38a-b8aaf769277b/target/one-advanced-legal-uat/evaluations-363,4,151,139,176,176,176,137,176,0.000%,.00408,0.04,0.01
02_MQR_Reviewer_T08_SaveMatter/api/mqr/v1/compliance-checks/tasks/85c69a7f-d069-422d-b380-df3f75f8b225/status-364,4,300,261,388,388,388,224,388,0.000%,.00407,0.01,0.02
02_MQR_Reviewer_T08_SaveMatter,4,2385,2355,2583,2583,2583,2160,2583,0.000%,.00400,0.05,0.05
02_MQR_Reviewer_T09_RerunCheck/api/mqr/v1/compliance-checks/523f2755-6429-4486-816a-08c67b80f5d5/tasks/85c69a7f-d069-422d-b380-df3f75f8b225/rerun-366,4,14658,14430,18589,18589,18589,9527,18589,0.000%,.00400,0.01,0.02
02_MQR_Reviewer_T09_RerunCheck/api/mqr/v1/compliance-checks/tasks/85c69a7f-d069-422d-b380-df3f75f8b225/status-367,4,436,229,1079,1079,1079,199,1079,0.000%,.00403,0.01,0.02
02_MQR_Reviewer_T09_RerunCheck,4,15095,14659,18829,18829,18829,9726,18829,0.000%,.00396,0.02,0.04
02_MQR_Reviewer_T10_Logout/api/identity/v3/users/aa3b3996-866f-4805-8ec9-1bc3c9f8bce6-376,4,168,129,295,295,295,112,295,25.000%,.00404,0.01,0.02
02_MQR_Reviewer_T10_Logout/logout-377,4,313,278,427,427,427,224,427,0.000%,.00403,0.04,0.06
02_MQR_Reviewer_T10_Logout/-381,4,73,70,94,94,94,51,94,0.000%,.00404,0.02,0.00
02_MQR_Reviewer_T10_Logout,4,554,485,669,669,669,447,669,25.000%,.00399,0.06,0.08
2.Reviewer,4,47522,44328,56222,56222,56222,40456,56222,25.000%,.00329,0.56,0.61
03_MQR_Dashboard_T01_Launch_Application/legal-mqr-5,4,69,63,90,90,90,60,90,0.000%,.00403,0.02,0.00
03_MQR_Dashboard_T01_Launch_Application,4,69,63,90,90,90,60,90,0.000%,.00402,0.02,0.00
03_MQR_Dashboard_T02_Enter_Email_Continue/auth/discover?redirectUri=https%3A%2F%2Fapps.oneadvanced.io%2Fparseauth%3FredirectUri%3Dhttps%253A%252F%252Fapps.oneadvanced.io%252Flegal-mqr-13,4,142,133,165,165,165,130,165,0.000%,.00404,0.02,0.00
03_MQR_Dashboard_T02_Enter_Email_Continue,4,142,133,165,165,165,130,165,0.000%,.00402,0.02,0.00
03_MQR_Dashboard_T03_Choose_Organisation_Continue/auth/organization-selected-14,4,546,219,1349,1349,1349,182,1349,0.000%,.00404,0.03,0.01
03_MQR_Dashboard_T03_Choose_Organisation_Continue,4,546,219,1349,1349,1349,182,1349,0.000%,.00402,0.03,0.01
03_MQR_Dashboard_T04_Verifyuser_Continue/auth/realms/one-advanced-legal-uat/login-actions/authenticate?session_code=TbPba0Y9XTWo60uu2RwRrztiV1xT_-MoUrkWOZEWQMM&execution=5f101b86-6905-469f-9526-1c5693ef5ab4&client_id=advancedsso&tab_id=2F-8P3Ivwx8-35,4,30,29,34,34,34,28,34,0.000%,.00404,0.02,0.01
03_MQR_Dashboard_T04_Verifyuser_Continue,4,30,29,34,34,34,28,34,0.000%,.00402,0.02,0.01
03_MQR_Dashboard_T05_Enter_Password_Continue/auth/realms/one-advanced-legal-uat/login-actions/authenticate?session_code=R5adF1MAWskTiVgUsvGjGHHg2_f65XgkcbSyOxvqYPA&execution=af5073fc-629a-45f9-8f68-20cfa46255ac&client_id=advancedsso&tab_id=2F-8P3Ivwx8-44,4,556,499,767,767,767,409,767,0.000%,.00403,0.05,0.06
03_MQR_Dashboard_T05_Enter_Password_Continue,4,556,499,767,767,767,409,767,0.000%,.00402,0.05,0.06
03_MQR_Dashboard_T05_Homepage/api/product-service/v2/platform-ui-bootstrap-50,12,107,98,126,126,131,94,131,0.000%,.01112,0.01,0.05
03_MQR_Dashboard_T05_Homepage/userinfo-49,12,97,92,134,134,170,33,170,0.000%,.01112,0.01,0.05
03_MQR_Dashboard_T05_Homepage/api/1.0/client/auth-55,12,155,158,178,178,180,134,180,0.000%,.01110,0.00,0.01
03_MQR_Dashboard_T05_Homepage/api/1.0/client/auth-57,12,139,137,140,140,174,135,174,0.000%,.01109,0.01,0.01
03_MQR_Dashboard_T05_Homepage/api/mqr/v1/departments-71,12,143,131,193,193,199,119,199,0.000%,.01110,0.02,0.05
03_MQR_FeeEarner_T05_Homepage/api/mqr/v1/compliance-executions-681,12,5512,6070,8506,8506,8673,2192,8673,0.000%,.01103,0.02,0.05
03_MQR_Dashboard_T05_Homepage/api/mqr/v1/compliance-dashboard-72,12,5554,94,19762,19762,20303,79,20303,0.000%,.01109,0.17,0.05
03_MQR_Dashboard_T05_Homepage_ViewReviews/refreshauth-352,12,62,59,83,83,88,38,88,0.000%,.01128,0.05,0.05
03_MQR_Dashboard_T06_Select_Department/api/mqr/v1/compliance-dashboard-73,12,2239,85,8756,8756,8896,67,8896,0.000%,.01195,0.15,0.06
03_MQR_Dashboard_T07_View_MatterQualityCheck/api/mqr/v1/departments-76,12,133,126,150,150,223,110,223,0.000%,.01168,0.02,0.06
03_MQR_Dashboard_T07_View_MatterQualityCheck/api/mqr/v1/failed-matters/by-rule-78,12,275,141,470,470,584,121,584,0.000%,.01168,0.01,0.06
03_MQR_Dashboard_T07_View_MatterQualityCheck/api/mqr/v1/compliance-dashboard-77,12,83,83,99,99,105,65,105,0.000%,.01168,0.14,0.06
03_MQR_Dashboard_T07_View_MatterQualityCheck/api/mqr/v1/failed-matters/by-rule-79,12,242,141,478,478,492,125,492,0.000%,.01168,0.01,0.06
03_MQR_Dashboard_T07_View_MatterQualityCheck/api/1.0/metrics/8d13b3d9-ecf1-41db-a38a-b8aaf769277b?cluster=1-85,12,147,141,161,161,179,133,179,0.000%,.01168,0.00,0.01
03_MQR_Dashboard_T08_Logout/api/identity/v3/users/7f0b20c9-2f5b-44cc-b6c5-46ba78e3fb31-87,4,138,131,147,147,147,129,147,25.000%,.00406,0.01,0.02
03_MQR_Dashboard_T08_Logout/logout-88,4,292,288,349,349,349,233,349,0.000%,.00406,0.04,0.06
03_MQR_Dashboard_T08_Logout/-94,4,62,55,80,80,80,51,80,0.000%,.00406,0.02,0.00
03_MQR_Dashboard_T08_Logout,4,492,494,533,533,533,444,533,25.000%,.00401,0.06,0.08
3.Dashboards,4,46520,45167,51472,51472,51472,42300,51472,25.000%,.00324,0.70,0.66
TOTAL,640,2186,137,4426,10445,48127,23,75266,1.406%,.37758,3.13,3.11
